0,1,0.166
0,2,0.079
0,3,0.090
1,1,0.730
1,2,0.423
1,3,0.411
2,1,0.076
2,2,0.081
2,3,0.082
3,1,0.081
3,2,0.082
3,3,0.080
4,1,0.079
4,2,0.083
4,3,0.081
5,1,0.081
5,2,0.081
5,3,0.082
6,1,0.083
6,2,0.081
6,3,0.085
7,1,0.449
7,2,0.903
7,3,0.284
8,1,6.341
8,2,5.590
8,3,5.617
9,1,7.673
9,2,7.360
9,3,7.446
10,1,1.265
10,2,0.673
10,3,0.653
11,1,1.272
11,2,0.690
11,3,0.700
12,1,0.257
12,2,0.222
12,3,0.244
13,1,0.272
13,2,0.307
13,3,0.346
14,1,0.276
14,2,0.266
14,3,0.244
15,1,0.159
15,2,0.165
15,3,0.273
16,1,0.247
16,2,0.229
16,3,0.220
17,1,0.241
17,2,0.327
17,3,0.308
18,1,null
18,2,null
18,3,null
19,1,1.251
19,2,0.478
19,3,0.479
20,1,32.722
20,2,30.116
20,3,29.918
21,1,6.781
21,2,2.027
21,3,1.952
22,1,33.342
22,2,5.674
22,3,5.526
23,1,44.928
23,2,7.360
23,3,7.137
24,1,26.121
24,2,23.556
24,3,23.550
25,1,22.963
25,2,23.171
25,3,23.025
26,1,30.059
26,2,30.029
26,3,29.992
27,1,14.537
27,2,12.449
27,3,12.391
28,1,null
28,2,null
28,3,null
29,1,0.141
29,2,0.131
29,3,0.123
30,1,0.314
30,2,0.270
30,3,0.273
31,1,0.407
31,2,0.352
31,3,0.381
32,1,0.532
32,2,0.528
32,3,0.554
33,1,0.346
33,2,0.333
33,3,0.419
34,1,65.397
34,2,65.075
34,3,66.119
35,1,95.028
35,2,94.013
35,3,93.870
36,1,10.960
36,2,9.286
36,3,9.354
37,1,10.594
37,2,9.325
37,3,9.323
38,1,3.163
38,2,2.150
38,3,2.136
39,1,68.890
39,2,68.193
39,3,68.379
40,1,2.111
40,2,1.500
40,3,1.496
41,1,2.427
41,2,1.745
41,3,1.738
42,1,null
42,2,null
42,3,null
